n,p,reg_method,seed,oracle_stat,oracle_pval,oracle_reject,est_stat,est_pval,est_reject,f_mse,f_rmse,f_r2,f_cor,g_mse,g_rmse,g_r2,g_cor,stat_difference
200,5,linear,2052,-0.707031847246969,0.479546686855109,0,-0.790992610410968,0.428948303666085,0,0.0224902964515822,0.14996765135049,0.987395276782468,0.996772294650844,0.00414952677151161,0.0644168205635113,0.813318437857039,0.931490340110689,0.0839607631639987
200,5,linear,2053,0.208409372163073,0.834909339065218,0,0.416694005419352,0.676902239614761,0,0.0318118333902936,0.178358721094018,0.985062833188069,0.994582742476861,0.00626459306051121,0.0791491823110713,0.736383988796595,0.884832809156426,0.208284633256279
200,5,linear,2054,1.72705432782522,0.0841579069789789,0,2.01668869976421,0.0437280099287814,1,0.00906237996080974,0.095196533344496,0.995834599909811,0.998918175088065,0.0106359015636648,0.103130507434341,0.580571018785463,0.923946038174385,0.289634371938991
200,5,linear,2055,1.67235247181651,0.0944548383420128,0,1.68971532881695,0.0910824292116765,0,0.034230405818689,0.185014609743904,0.984373469883649,0.994191003834556,0.00443393692139764,0.0665878136102819,0.836977135432403,0.93297523286377,0.0173628570004423
200,5,linear,2056,1.828446604661,0.0674825523429438,0,1.73948626151412,0.0819492667253115,0,0.0390363054216488,0.197576075023391,0.978088044732914,0.990643657145578,0.00128424979613899,0.0358364311300525,0.93995024860895,0.971811231119471,0.0889603431468888
200,5,linear,2057,1.75330920576732,0.0795489461924906,0,1.823056327538,0.0682948601500122,0,0.0180512060252294,0.13435477671162,0.992196131455793,0.996804182681605,0.00495423482032925,0.0703863255208656,0.809314590062729,0.917431436738489,0.0697471217706831
200,5,linear,2058,0.670641255846208,0.502449093914442,0,0.734390665455217,0.462710674253329,0,0.0201121644222261,0.141817362908165,0.991575881381389,0.996809683673924,0.0077350066416435,0.0879488865287305,0.70247119250696,0.921727718236187,0.063749409609009
200,5,linear,2059,1.23974552949119,0.215069531167503,0,1.39154469720181,0.164060315528006,0,0.0159507710025346,0.126296361794529,0.992404541238668,0.997630391836848,0.00521881816016754,0.0722413881384317,0.778553960493345,0.916525881244382,0.151799167710616
200,5,linear,2060,-0.0505116202925185,0.959714689571975,0,-0.0697963397200209,0.944355760555036,0,0.0111506748104357,0.105596755681393,0.994044087303477,0.997578145136569,0.00160943185746613,0.0401177249786941,0.919283604894213,0.995428073271326,0.0192847194275024
200,5,linear,2061,-1.25479090597375,0.209554674745182,0,-0.914162027711505,0.360631713616742,0,0.0575461553302764,0.239887797376766,0.974610529989103,0.997217315339679,0.00438989170562353,0.066256257860096,0.840435190992461,0.982814210556547,0.340628878262241
200,5,linear,2062,-0.178118571652725,0.858629857178893,0,0.109100138862453,0.913123064751632,0,0.0298393019605453,0.172740562580262,0.985652168343474,0.997049374699244,0.00906031301964058,0.0951856765466348,0.635705759561025,0.821862916310311,0.287218710515178
200,5,linear,2063,1.39902101840921,0.161806680276828,0,1.50282557848039,0.13288402813932,0,0.0325376554238041,0.180381970894555,0.982972336829978,0.995376871314103,0.00207915612253807,0.0455977644467146,0.907824313192346,0.956920357221077,0.103804560071176
200,5,linear,2064,-1.52519976539246,0.127209279105119,0,-1.77375056349677,0.0761044186780769,0,0.0247442711576168,0.157303118715481,0.988516674975297,0.9945141150245,0.00739161412861643,0.0859744969663471,0.690154079482302,0.898156667996117,0.248550798104302
200,5,linear,2065,0.914704900684138,0.360346570926792,0,1.11915157630078,0.263075479700539,0,0.0173411619689566,0.131685845742648,0.992778416570139,0.999019365315953,0.0127955599702784,0.113117460943386,0.508239155932763,0.827556985233122,0.204446675616643
200,5,linear,2066,-1.4485901305443,0.147452079024824,0,-1.37451858934715,0.169280743216585,0,0.0231031314660887,0.151997142953704,0.99087567401737,0.99920757878926,0.00330458869800586,0.057485552080552,0.880986912318376,0.958077714942795,0.0740715411971538
200,5,linear,2067,-0.323188960183267,0.746552141168099,0,-0.276441521208536,0.782208969389205,0,0.0208849974756243,0.144516426317648,0.990363741440778,0.998913882083106,0.0027148206878008,0.0521039411925893,0.888755808692711,0.962305799979704,0.0467474389747313
200,5,linear,2068,-0.325014258378712,0.745170280411884,0,-0.39077729853594,0.695961856522871,0,0.0134462797447197,0.115958094778759,0.994393823893701,0.997868347846238,0.00901006961497266,0.0949213864994221,0.659640975179303,0.86260507410757,0.0657630401572282
200,5,linear,2069,-0.133226559376069,0.894014206727677,0,-0.176100206945384,0.860215218347147,0,0.0313752469676434,0.177130592974911,0.986848645602258,0.995509466050172,0.00275032126962696,0.052443505504752,0.894911194549478,0.949326968645857,0.0428736475693152
200,5,linear,2070,-0.989821361624948,0.322261441732896,0,-1.09149407394674,0.275055538058704,0,0.0252837596771312,0.159008677993156,0.988164556380988,0.99515508979456,0.00185816258655793,0.0431064100402472,0.924919478139597,0.97091366148076,0.101672712321796
200,5,linear,2071,0.895358567013659,0.370595441723482,0,0.926487340892873,0.354192772868727,0,0.015271414035362,0.123577562831454,0.992750033171355,0.997233895313252,0.00512235695474911,0.0715706431069968,0.783363696852366,0.905500472721112,0.0311287738792133
200,5,linear,2072,-1.05217946012157,0.292717221301438,0,-0.839737416280069,0.401055630198823,0,0.0280840402234681,0.167582935358789,0.986650319929325,0.995869220734562,0.00214135515302718,0.0462747788004133,0.909922591714646,0.972606139195696,0.212442043841496
200,5,linear,2073,-0.643608496508389,0.519829339232336,0,-0.650292647083491,0.515503205754143,0,0.0195464620891217,0.139808662425194,0.991099607183735,0.997487871570687,0.00900829154891216,0.0949120200444188,0.632297848262526,0.827997575660551,0.00668415057510141
200,5,linear,2074,0.646154999602978,0.518178979411102,0,0.671117564969638,0.502145638069744,0,0.00834557753820952,0.0913541325732423,0.996362645407744,0.998678356663945,0.0130724461293799,0.114334798418416,0.501118730900035,0.947132393005603,0.0249625653666603
200,5,linear,2075,0.0153149369862712,0.987780925889316,0,0.0293367867231804,0.976595987957159,0,0.0537598643808138,0.231861735482192,0.975828521415512,0.987987180916656,0.00212948371768186,0.046146329406377,0.920141037094027,0.974883665082549,0.0140218497369092
200,5,linear,2076,0.530807915014957,0.595551894647032,0,0.707609641625823,0.479187703730005,0,0.0178874394671221,0.133743932449745,0.991288553286811,0.996704654842434,0.00487371008553948,0.0698119623384093,0.806962048041171,0.916925205491003,0.176801726610866
