n,reg_method,oracle_type1,est_type1,type1_diff,mean_f_rmse,mean_g_rmse,mean_f_r2,mean_g_r2,mean_stat_diff,sd_stat_diff,cor_f_rmse_stat,cor_g_rmse_stat
200,linear,0.055,0.05,-0.005,0.159993410185486,0.0791906344092574,0.987188734704313,0.7247407039959,0.132359941759504,0.11398791347535,0.357596701082947,0.347467810391448
200,ranger,0.055,0.12,0.065,0.616067240579289,0.226541332429571,0.824966610516152,-1.09034025736748,0.599331971830138,0.430450743741402,-0.132305117021731,-0.0490166179163298
200,xgboost,0.055,0.14,0.085,1.00174882307205,0.433368671485274,0.537725423827904,-6.63427666727006,1.0775173145395,0.710145763793549,-0.164609707113316,-0.00011904191429187
500,linear,0.04,0.04,0,0.103908751331572,0.0498776469194448,0.994812486994148,0.892647447211686,0.0797084694561719,0.0629225182761512,0.359308714691008,0.280260714694231
500,ranger,0.04,0.075,0.035,0.596390749718852,0.22340575660432,0.841331212792979,-0.978010260708557,0.539447432064616,0.40397116380543,0.0653452386287267,-0.170543279650963
500,xgboost,0.04,0.19,0.15,0.981167384380522,0.422631351562235,0.57066632131891,-6.0749149691991,0.980284170350183,0.746281711859684,-0.111697095371423,0.126743701255616
1000,linear,0.04,0.04,0,0.0732512584494652,0.0345185170789519,0.997370771202319,0.948513735954908,0.0517146321104583,0.0397572134761143,0.257915582641549,0.312676128827291
1000,ranger,0.04,0.09,0.05,0.590534482000788,0.222462280734072,0.844129021287087,-0.964024972948269,0.542129423226003,0.364158754786349,-0.0749253620451646,-0.246468462316218
1000,xgboost,0.04,0.135,0.095,0.922305538080854,0.38328249094572,0.61982416513338,-4.82990470449193,0.815681216212308,0.671696937808331,-0.0720611337387462,-0.0474044562656482
