test_type,test_name,n,block_size,h_label,rejection_rate
DRT,BlockMMD_test,200,7,Null,0.03
DRT,CV_BlockMMD_test,200,7,Null,0.022
DRT,BlockMMD_test,200,7,Alternative,0.328
DRT,CV_BlockMMD_test,200,7,Alternative,0.32
DRT,BlockMMD_test,200,14,Null,0.05
DRT,CV_BlockMMD_test,200,14,Null,0.02
DRT,BlockMMD_test,200,14,Alternative,0.59
DRT,CV_BlockMMD_test,200,14,Alternative,0.642
DRT,BlockMMD_test,200,21,Null,0.108
DRT,CV_BlockMMD_test,200,21,Null,0.044
DRT,BlockMMD_test,200,21,Alternative,0.67
DRT,CV_BlockMMD_test,200,21,Alternative,0.756
DRT,BlockMMD_test,200,28,Null,0.14
DRT,CV_BlockMMD_test,200,28,Null,0.104
DRT,BlockMMD_test,200,28,Alternative,0.772
DRT,CV_BlockMMD_test,200,28,Alternative,0.862
DRT,BlockMMD_test,500,11,Null,0.052
DRT,CV_BlockMMD_test,500,11,Null,0.02
DRT,BlockMMD_test,500,11,Alternative,0.804
DRT,CV_BlockMMD_test,500,11,Alternative,0.92
DRT,BlockMMD_test,500,22,Null,0.044
DRT,CV_BlockMMD_test,500,22,Null,0.008
DRT,BlockMMD_test,500,22,Alternative,0.972
DRT,CV_BlockMMD_test,500,22,Alternative,0.996
DRT,BlockMMD_test,500,33,Null,0.06
DRT,CV_BlockMMD_test,500,33,Null,0.032
DRT,BlockMMD_test,500,33,Alternative,0.986
DRT,CV_BlockMMD_test,500,33,Alternative,0.996
DRT,BlockMMD_test,500,44,Null,0.076
DRT,CV_BlockMMD_test,500,44,Null,0.056
DRT,BlockMMD_test,500,44,Alternative,0.998
DRT,CV_BlockMMD_test,500,44,Alternative,1
DRT,BlockMMD_test,1000,15,Null,0.044
DRT,CV_BlockMMD_test,1000,15,Null,0.01
DRT,BlockMMD_test,1000,15,Alternative,0.998
DRT,CV_BlockMMD_test,1000,15,Alternative,1
DRT,BlockMMD_test,1000,31,Null,0.054
DRT,CV_BlockMMD_test,1000,31,Null,0.006
DRT,BlockMMD_test,1000,31,Alternative,1
DRT,CV_BlockMMD_test,1000,31,Alternative,1
DRT,BlockMMD_test,1000,46,Null,0.062
DRT,CV_BlockMMD_test,1000,46,Null,0.008
DRT,BlockMMD_test,1000,46,Alternative,1
DRT,CV_BlockMMD_test,1000,46,Alternative,1
DRT,BlockMMD_test,1000,62,Null,0.074
DRT,CV_BlockMMD_test,1000,62,Null,0.016
DRT,BlockMMD_test,1000,62,Alternative,1
DRT,CV_BlockMMD_test,1000,62,Alternative,1
DRT,BlockMMD_test,2000,22,Null,0.048
DRT,CV_BlockMMD_test,2000,22,Null,0.012
DRT,BlockMMD_test,2000,22,Alternative,1
DRT,CV_BlockMMD_test,2000,22,Alternative,1
DRT,BlockMMD_test,2000,44,Null,0.058
DRT,CV_BlockMMD_test,2000,44,Null,0.008
DRT,BlockMMD_test,2000,44,Alternative,1
DRT,CV_BlockMMD_test,2000,44,Alternative,1
DRT,BlockMMD_test,2000,66,Null,0.056
DRT,CV_BlockMMD_test,2000,66,Null,0.01
DRT,BlockMMD_test,2000,66,Alternative,1
DRT,CV_BlockMMD_test,2000,66,Alternative,1
DRT,BlockMMD_test,2000,88,Null,0.068
DRT,CV_BlockMMD_test,2000,88,Null,0.016
DRT,BlockMMD_test,2000,88,Alternative,1
DRT,CV_BlockMMD_test,2000,88,Alternative,1
