test_name,n,h_label,estimator,bandwidth,rejection_rate
CV_LinearMMD_test,800,Alternative,KLR,0.5,0.046
CV_LinearMMD_test,800,Alternative,KLR,1,0.054
CV_LinearMMD_test,800,Alternative,KLR,median,0.0779999999999999
CV_LinearMMD_test,800,Alternative,KLR,5,0.072
CV_LinearMMD_test,800,Alternative,KLR,10,0.064
LinearMMD_test,800,Null,LL,0.1,0.01
LinearMMD_test,800,Null,LL,0.5,0.036
LinearMMD_test,800,Null,LL,1,0.066
LinearMMD_test,800,Null,LL,median,0.072
LinearMMD_test,800,Null,LL,5,0.124
LinearMMD_test,800,Null,LL,10,0.128
LinearMMD_test,800,Null,KLR,0.1,0.00799999999999999
LinearMMD_test,800,Null,KLR,0.5,0.04
LinearMMD_test,800,Null,KLR,1,0.0600000000000001
LinearMMD_test,800,Null,KLR,median,0.034
LinearMMD_test,800,Null,KLR,5,0.062
LinearMMD_test,800,Null,KLR,10,0.056
CV_LinearMMD_test,800,Null,LL,0.1,0.034
CV_LinearMMD_test,800,Null,LL,0.5,0.06
CV_LinearMMD_test,800,Null,LL,1,0.0959999999999999
CV_LinearMMD_test,800,Null,LL,median,0.118
CV_LinearMMD_test,800,Null,LL,5,0.292
CV_LinearMMD_test,800,Null,LL,10,0.29
CV_LinearMMD_test,800,Null,KLR,0.1,0.0380000000000001
CV_LinearMMD_test,800,Null,KLR,0.5,0.0539999999999999
CV_LinearMMD_test,800,Null,KLR,1,0.0520000000000001
CV_LinearMMD_test,800,Null,KLR,median,0.05
CV_LinearMMD_test,800,Null,KLR,5,0.066
CV_LinearMMD_test,800,Null,KLR,10,0.068
LinearMMD_test,1200,Alternative,LL,0.1,0.03
LinearMMD_test,1200,Alternative,LL,0.5,0.072
LinearMMD_test,1200,Alternative,LL,1,0.088
LinearMMD_test,1200,Alternative,LL,median,0.138
LinearMMD_test,1200,Alternative,LL,5,0.16
LinearMMD_test,1200,Alternative,LL,10,0.15
LinearMMD_test,1200,Alternative,KLR,0.1,0.032
LinearMMD_test,1200,Alternative,KLR,0.5,0.058
LinearMMD_test,1200,Alternative,KLR,1,0.062
LinearMMD_test,1200,Alternative,KLR,median,0.104
LinearMMD_test,1200,Alternative,KLR,5,0.064
LinearMMD_test,1200,Alternative,KLR,10,0.062
CV_LinearMMD_test,1200,Alternative,LL,0.1,0.036
CV_LinearMMD_test,1200,Alternative,LL,0.5,0.0840000000000001
CV_LinearMMD_test,1200,Alternative,LL,1,0.114
CV_LinearMMD_test,1200,Alternative,LL,median,0.198
CV_LinearMMD_test,1200,Alternative,LL,5,0.286
CV_LinearMMD_test,1200,Alternative,LL,10,0.29
CV_LinearMMD_test,1200,Alternative,KLR,0.1,0.048
CV_LinearMMD_test,1200,Alternative,KLR,0.5,0.064
CV_LinearMMD_test,1200,Alternative,KLR,1,0.064
CV_LinearMMD_test,1200,Alternative,KLR,median,0.12
CV_LinearMMD_test,1200,Alternative,KLR,5,0.062
CV_LinearMMD_test,1200,Alternative,KLR,10,0.058
LinearMMD_test,1200,Null,LL,0.1,0.018
LinearMMD_test,1200,Null,LL,0.5,0.064
LinearMMD_test,1200,Null,LL,1,0.0879999999999999
LinearMMD_test,1200,Null,LL,median,0.0959999999999999
LinearMMD_test,1200,Null,LL,5,0.154
LinearMMD_test,1200,Null,LL,10,0.152
LinearMMD_test,1200,Null,KLR,0.1,0.02
LinearMMD_test,1200,Null,KLR,0.5,0.0500000000000001
LinearMMD_test,1200,Null,KLR,1,0.058
LinearMMD_test,1200,Null,KLR,median,0.064
LinearMMD_test,1200,Null,KLR,5,0.064
LinearMMD_test,1200,Null,KLR,10,0.06
CV_LinearMMD_test,1200,Null,LL,0.1,0.052
CV_LinearMMD_test,1200,Null,LL,0.5,0.0779999999999999
CV_LinearMMD_test,1200,Null,LL,1,0.106
CV_LinearMMD_test,1200,Null,LL,median,0.126
CV_LinearMMD_test,1200,Null,LL,5,0.284
CV_LinearMMD_test,1200,Null,LL,10,0.29
CV_LinearMMD_test,1200,Null,KLR,0.1,0.054
CV_LinearMMD_test,1200,Null,KLR,0.5,0.07
CV_LinearMMD_test,1200,Null,KLR,1,0.064
CV_LinearMMD_test,1200,Null,KLR,median,0.062
CV_LinearMMD_test,1200,Null,KLR,5,0.062
CV_LinearMMD_test,1200,Null,KLR,10,0.056
LinearMMD_test,1600,Alternative,LL,0.1,0.03
LinearMMD_test,1600,Alternative,LL,0.5,0.07
LinearMMD_test,1600,Alternative,LL,1,0.062
LinearMMD_test,1600,Alternative,LL,median,0.126
LinearMMD_test,1600,Alternative,LL,5,0.138
LinearMMD_test,1600,Alternative,LL,10,0.134
LinearMMD_test,1600,Alternative,KLR,0.1,0.032
LinearMMD_test,1600,Alternative,KLR,0.5,0.052
LinearMMD_test,1600,Alternative,KLR,1,0.056
LinearMMD_test,1600,Alternative,KLR,median,0.086
LinearMMD_test,1600,Alternative,KLR,5,0.052
LinearMMD_test,1600,Alternative,KLR,10,0.05
CV_LinearMMD_test,1600,Alternative,LL,0.1,0.054
CV_LinearMMD_test,1600,Alternative,LL,0.5,0.076
CV_LinearMMD_test,1600,Alternative,LL,1,0.07
CV_LinearMMD_test,1600,Alternative,LL,median,0.21
CV_LinearMMD_test,1600,Alternative,LL,5,0.252
CV_LinearMMD_test,1600,Alternative,LL,10,0.234
CV_LinearMMD_test,1600,Alternative,KLR,0.1,0.0580000000000001
CV_LinearMMD_test,1600,Alternative,KLR,0.5,0.062
CV_LinearMMD_test,1600,Alternative,KLR,1,0.052
CV_LinearMMD_test,1600,Alternative,KLR,median,0.106
CV_LinearMMD_test,1600,Alternative,KLR,5,0.052
CV_LinearMMD_test,1600,Alternative,KLR,10,0.048
LinearMMD_test,1600,Null,LL,0.1,0.036
