test_type,test_name,n,h_label,bandwidth_type,rejection_rate
DRT,LinearMMD_test,200,Null,fixed,0.052
DRT,LinearMMD_test,200,Null,median,0.056
DRT,CV_LinearMMD_test,200,Null,fixed,0.118
DRT,CV_LinearMMD_test,200,Null,median,0.044
DRT,LinearMMD_test,200,Alternative,fixed,0.056
DRT,LinearMMD_test,200,Alternative,median,0.06
DRT,CV_LinearMMD_test,200,Alternative,fixed,0.114
DRT,CV_LinearMMD_test,200,Alternative,median,0.04
DRT,LinearMMD_test,500,Null,fixed,0.106
DRT,LinearMMD_test,500,Null,median,0.018
DRT,CV_LinearMMD_test,500,Null,fixed,0.112
DRT,CV_LinearMMD_test,500,Null,median,0.018
DRT,LinearMMD_test,500,Alternative,fixed,0.0959999999999999
DRT,LinearMMD_test,500,Alternative,median,0.018
DRT,CV_LinearMMD_test,500,Alternative,fixed,0.114
DRT,CV_LinearMMD_test,500,Alternative,median,0.022
DRT,LinearMMD_test,1000,Null,fixed,0.076
DRT,LinearMMD_test,1000,Null,median,0.00799999999999999
DRT,CV_LinearMMD_test,1000,Null,fixed,0.0980000000000001
DRT,CV_LinearMMD_test,1000,Null,median,0.012
DRT,LinearMMD_test,1000,Alternative,fixed,0.072
DRT,LinearMMD_test,1000,Alternative,median,0.01
DRT,CV_LinearMMD_test,1000,Alternative,fixed,0.1
DRT,CV_LinearMMD_test,1000,Alternative,median,0.014
DRT,LinearMMD_test,2000,Null,fixed,0.0660000000000001
DRT,LinearMMD_test,2000,Null,median,0.00799999999999999
DRT,CV_LinearMMD_test,2000,Null,fixed,0.06
DRT,CV_LinearMMD_test,2000,Null,median,0.00799999999999999
DRT,LinearMMD_test,2000,Alternative,fixed,0.06
DRT,LinearMMD_test,2000,Alternative,median,0.004
DRT,CV_LinearMMD_test,2000,Alternative,fixed,0.06
DRT,CV_LinearMMD_test,2000,Alternative,median,0.00799999999999999
