test_type,test_name,n,h_label,estimator,rejection_rate,avg_time_sec
DRT,CP_test,2000,Null,KLR,0.048,5.01429999999947
DRT,CV_LinearMMD_test,2000,Null,LL,0.072,0.036439999999624
DRT,CV_LinearMMD_test,2000,Null,KLR,0.076,10.0664400000002
DRT,CV_CLF_test,2000,Null,LL,0.058,0.0468400000003458
DRT,CV_CLF_test,2000,Null,KLR,0.042,15.3340999999989
DRT,debiased_test,2000,Null,LL,0.046,4.31724000000017
DRT,debiased_test,2000,Null,KLR,0.028,12.3751200000003
CIT,RCIT_test,2000,Null,,0.07,0.0907599999994854
CIT,GCM_test,2000,Null,,0.082,0.133280000000959
CIT,WGSC_test,2000,Null,,0,7.69109999999945
CIT,PCM_test,2000,Null,,0.048,0.21769999999943
