test_type,test_name,n,h_label,estimator,rejection_rate,avg_time_sec
DRT,CP_test,1600,Null,KLR,0.13,3.17753448963165
DRT,CV_LinearMMD_test,1600,Null,LL,0.09,0.160872650146484
DRT,CV_LinearMMD_test,1600,Null,KLR,0.08,5.81708616733551
DRT,CV_CLF_test,1600,Null,LL,0.67,0.226171092987061
DRT,CV_CLF_test,1600,Null,KLR,0.11,8.02563468933106
DRT,debiased_test,1600,Null,LL,0.05,3.20040310144424
DRT,debiased_test,1600,Null,KLR,0.07,7.18082367897034
CIT,RCIT_test,1600,Null,lm,0.07,0.131578357219696
CIT,RCIT_test,1600,Null,ranger,0.07,0.133729426860809
CIT,GCM_test,1600,Null,lm,0.15,0.076358802318573
CIT,GCM_test,1600,Null,ranger,0.12,0.333982255458832
CIT,WGSC_test,1600,Null,lm,0.11,0.832139849662781
CIT,WGSC_test,1600,Null,ranger,0,2.80876048803329
CIT,PCM_test,1600,Null,lm,0.04,0.0767652893066406
CIT,PCM_test,1600,Null,ranger,0,0.339611973762512
DRT,LinearMMD_test,2000,Null,LL,0.08,0.0880379557609558
DRT,LinearMMD_test,2000,Null,KLR,0.08,5.06874837160111
DRT,CLF_test,2000,Null,LL,0.35,0.177535150051117
DRT,CLF_test,2000,Null,KLR,0.03,7.9024639749527
DRT,CP_test,2000,Null,LL,0.12,0.118729696273804
DRT,CP_test,2000,Null,KLR,0.11,5.40474137544632
DRT,CV_LinearMMD_test,2000,Null,LL,0.15,0.194779379367828
DRT,CV_LinearMMD_test,2000,Null,KLR,0.1,9.73856397151947
DRT,CV_CLF_test,2000,Null,LL,0.57,0.265777895450592
DRT,CV_CLF_test,2000,Null,KLR,0.08,13.5013825321198
DRT,debiased_test,2000,Null,LL,0.1,4.90297473192215
DRT,debiased_test,2000,Null,KLR,0.06,11.8950773692131
CIT,RCIT_test,2000,Null,lm,0.06,0.14064190864563
CIT,RCIT_test,2000,Null,ranger,0.06,0.137758450508118
CIT,GCM_test,2000,Null,lm,0.13,0.0875481748580933
CIT,GCM_test,2000,Null,ranger,0.18,0.365762531757355
CIT,WGSC_test,2000,Null,lm,0.13,0.864194209575653
CIT,WGSC_test,2000,Null,ranger,0,3.12408353328705
CIT,PCM_test,2000,Null,lm,0.07,0.098381781578064
CIT,PCM_test,2000,Null,ranger,0,0.429070649147034
