hypothesis,prop,test,statistic,pvalue,rejection,block_size,sim
null,0.1,debiased_test,7.68371671655595,7.7715611723761e-15,1,,14
null,0.1,bootstrap_MMD_test,,,1,,14
null,0.1,BlockMMD_test,2.82303550386907,0.00237856516206469,1,42,14
null,0.1,LinearMMD_test,1.92504401476167,0.0271119260102981,1,,15
null,0.1,CLF_test,0.694292720192946,0.243749327704486,0,,15
null,0.1,CP_test,-3.58884589707788,0.000166072546654713,1,,15
null,0.1,debiased_test,7.06014429538421,8.31668067746705e-13,1,,15
null,0.1,bootstrap_MMD_test,,,1,,15
null,0.1,BlockMMD_test,5.13016161765108,1.44746759134229e-07,1,42,15
null,0.1,LinearMMD_test,0.653963368032192,0.25656770324629,0,,16
null,0.1,CLF_test,0.520592252271999,0.301325423855241,0,,16
null,0.1,CP_test,-3.89859626851908,4.83759675735291e-05,1,,16
null,0.1,debiased_test,6.83778735310048,4.02122779519232e-12,1,,16
null,0.1,bootstrap_MMD_test,,,1,,16
null,0.1,BlockMMD_test,4.64225999264075,1.72309418100536e-06,1,42,16
null,0.1,LinearMMD_test,0.38794407433932,0.349028710384253,0,,17
null,0.1,CLF_test,-0.0812879078870516,0.532393504863108,0,,17
null,0.1,CP_test,-1.84552233123421,0.0324807965466077,1,,17
null,0.1,debiased_test,6.50488879366613,3.8875458407972e-11,1,,17
null,0.1,bootstrap_MMD_test,,,1,,17
null,0.1,BlockMMD_test,3.52978397027862,0.000207949555862119,1,42,17
null,0.1,LinearMMD_test,2.44563237939452,0.00722991771724912,1,,18
null,0.1,CLF_test,0.771732367986639,0.220136477880929,0,,18
null,0.1,CP_test,-3.44824961195768,0.000282116169589282,1,,18
null,0.1,debiased_test,7.98639466992047,6.66133814775094e-16,1,,18
null,0.1,bootstrap_MMD_test,,,1,,18
null,0.1,BlockMMD_test,3.19042577690938,0.000710316634609964,1,42,18
null,0.1,LinearMMD_test,-0.067539553983456,0.52692391281446,0,,19
null,0.1,CLF_test,0.451298389257357,0.325887252808577,0,,19
null,0.1,CP_test,-3.4800263225928,0.00025068226045924,1,,19
null,0.1,debiased_test,6.49107577938514,4.26128021757677e-11,1,,19
null,0.1,bootstrap_MMD_test,,,1,,19
null,0.1,BlockMMD_test,3.57277614584249,0.000176608345373475,1,42,19
null,0.1,LinearMMD_test,1.77354603053925,0.0380691357715455,1,,20
null,0.1,CLF_test,0.39297546282661,0.347168802160183,0,,20
null,0.1,CP_test,-3.99620544401028,3.21829404087415e-05,1,,20
null,0.1,debiased_test,7.4731604947961,3.9190872769268e-14,1,,20
null,0.1,bootstrap_MMD_test,,,1,,20
null,0.1,BlockMMD_test,3.64914310535085,0.000131558253829045,1,42,20
null,0.1,LinearMMD_test,1.9032505381257,0.0285039307602184,1,,21
null,0.1,CLF_test,1.38780758703314,0.0825978219535244,0,,21
null,0.1,CP_test,-2.3423718040965,0.00958080774822321,1,,21
null,0.1,debiased_test,4.84140168663135,6.44632289326097e-07,1,,21
null,0.1,bootstrap_MMD_test,,,1,,21
null,0.1,BlockMMD_test,1.90002926278708,0.0287146397677622,1,42,21
null,0.1,LinearMMD_test,0.73677304489675,0.230630188919225,0,,22
null,0.1,CLF_test,0.200720804167425,0.420458445697828,0,,22
null,0.1,CP_test,-1.90153660594973,0.0286158812439131,1,,22
null,0.1,debiased_test,6.1088032611542,5.01904851013535e-10,1,,22
null,0.1,bootstrap_MMD_test,,,1,,22
null,0.1,BlockMMD_test,2.18148577485951,0.0145737527406625,1,42,22
null,0.1,LinearMMD_test,1.9513200089559,0.025509495155137,1,,23
null,0.1,CLF_test,0.501190454430809,0.308118545807151,0,,23
null,0.1,CP_test,-1.08219418147036,0.139583126694949,0,,23
