test_type,test_name,n,h_label,rejection_rate
DRT,LinearMMD_test,200,Null,0.064
DRT,CV_LinearMMD_test,200,Null,0.056
DRT,CLF_test,200,Null,0.004
DRT,CV_CLF_test,200,Null,0.016
DRT,CP_test,200,Null,0.026
DRT,debiased_test,200,Null,0.01
DRT,BlockMMD_test,200,Null,0.06
DRT,CV_BlockMMD_test,200,Null,0.022
DRT,bootstrap_MMD_test,200,Null,0.142
CIT,RCIT_test,200,Null,0.198
CIT,PCM_test,200,Null,0.1
CIT,GCM_test,200,Null,0.032
DRT,LinearMMD_test,200,Alternative,0.08
DRT,CV_LinearMMD_test,200,Alternative,0.074
DRT,CLF_test,200,Alternative,0.012
DRT,CV_CLF_test,200,Alternative,0.066
DRT,CP_test,200,Alternative,0.228
DRT,debiased_test,200,Alternative,0.156
DRT,BlockMMD_test,200,Alternative,0.06
DRT,CV_BlockMMD_test,200,Alternative,0.034
DRT,bootstrap_MMD_test,200,Alternative,0.168
CIT,RCIT_test,200,Alternative,0.356
CIT,PCM_test,200,Alternative,0.13
CIT,GCM_test,200,Alternative,0.386
DRT,LinearMMD_test,500,Null,0.044
DRT,CV_LinearMMD_test,500,Null,0.04
DRT,CLF_test,500,Null,0.01
DRT,CV_CLF_test,500,Null,0.012
DRT,CP_test,500,Null,0.026
DRT,debiased_test,500,Null,0.032
DRT,BlockMMD_test,500,Null,0.046
DRT,CV_BlockMMD_test,500,Null,0.018
DRT,bootstrap_MMD_test,500,Null,0.112
CIT,RCIT_test,500,Null,0.182
CIT,PCM_test,500,Null,0.09
CIT,GCM_test,500,Null,0.03
DRT,LinearMMD_test,500,Alternative,0.064
DRT,CV_LinearMMD_test,500,Alternative,0.06
DRT,CLF_test,500,Alternative,0.06
DRT,CV_CLF_test,500,Alternative,0.18
DRT,CP_test,500,Alternative,0.53
DRT,debiased_test,500,Alternative,0.492
DRT,BlockMMD_test,500,Alternative,0.05
DRT,CV_BlockMMD_test,500,Alternative,0.026
DRT,bootstrap_MMD_test,500,Alternative,0.194
CIT,RCIT_test,500,Alternative,0.62
CIT,PCM_test,500,Alternative,0.266
CIT,GCM_test,500,Alternative,0.812
DRT,LinearMMD_test,1000,Null,0.036
DRT,CV_LinearMMD_test,1000,Null,0.034
DRT,CLF_test,1000,Null,0.01
DRT,CV_CLF_test,1000,Null,0.012
DRT,CP_test,1000,Null,0.024
DRT,debiased_test,1000,Null,0.048
DRT,BlockMMD_test,1000,Null,0.032
DRT,CV_BlockMMD_test,1000,Null,0.022
DRT,bootstrap_MMD_test,1000,Null,0.146
CIT,RCIT_test,1000,Null,0.268
CIT,PCM_test,1000,Null,0.144
CIT,GCM_test,1000,Null,0.024
DRT,LinearMMD_test,1000,Alternative,0.034
DRT,CV_LinearMMD_test,1000,Alternative,0.048
DRT,CLF_test,1000,Alternative,0.13
DRT,CV_CLF_test,1000,Alternative,0.286
DRT,CP_test,1000,Alternative,0.784
DRT,debiased_test,1000,Alternative,0.678
DRT,BlockMMD_test,1000,Alternative,0.052
DRT,CV_BlockMMD_test,1000,Alternative,0.04
DRT,bootstrap_MMD_test,1000,Alternative,0.276
CIT,RCIT_test,1000,Alternative,0.85
CIT,PCM_test,1000,Alternative,0.364
CIT,GCM_test,1000,Alternative,0.986
DRT,LinearMMD_test,2000,Null,0.018
DRT,CV_LinearMMD_test,2000,Null,0.014
DRT,CLF_test,2000,Null,0.006
DRT,CV_CLF_test,2000,Null,0.014
DRT,CP_test,2000,Null,0.032
DRT,debiased_test,2000,Null,0.036
DRT,BlockMMD_test,2000,Null,0.046
DRT,CV_BlockMMD_test,2000,Null,0.028
DRT,bootstrap_MMD_test,2000,Null,0.142
CIT,RCIT_test,2000,Null,0.45
CIT,PCM_test,2000,Null,0.202
CIT,GCM_test,2000,Null,0.04
DRT,LinearMMD_test,2000,Alternative,0.026
DRT,CV_LinearMMD_test,2000,Alternative,0.018
DRT,CLF_test,2000,Alternative,0.262
DRT,CV_CLF_test,2000,Alternative,0.45
DRT,CP_test,2000,Alternative,0.922
DRT,debiased_test,2000,Alternative,0.846
DRT,BlockMMD_test,2000,Alternative,0.072
DRT,CV_BlockMMD_test,2000,Alternative,0.056
DRT,bootstrap_MMD_test,2000,Alternative,0.42
CIT,RCIT_test,2000,Alternative,0.954
CIT,PCM_test,2000,Alternative,0.692
CIT,GCM_test,2000,Alternative,1
