test_type,test_name,n,h_label,rejection_rate
DRT,LinearMMD_test,200,Null,0.068
DRT,CV_LinearMMD_test,200,Null,0.13
DRT,CLF_test,200,Null,0.008
DRT,CV_CLF_test,200,Null,0.014
DRT,CP_test,200,Null,0.026
DRT,debiased_test,200,Null,0.01
DRT,BlockMMD_test,200,Null,0.12
DRT,CV_BlockMMD_test,200,Null,0.06
DRT,bootstrap_MMD_test,200,Null,0.164
CIT,RCIT_test,200,Null,0.178
CIT,PCM_test,200,Null,0.082
CIT,GCM_test,200,Null,0.016
DRT,LinearMMD_test,200,Alternative,0.07
DRT,CV_LinearMMD_test,200,Alternative,0.126
DRT,CLF_test,200,Alternative,0.026
DRT,CV_CLF_test,200,Alternative,0.06
DRT,CP_test,200,Alternative,0.284
DRT,debiased_test,200,Alternative,0.096
DRT,BlockMMD_test,200,Alternative,0.114
DRT,CV_BlockMMD_test,200,Alternative,0.068
DRT,bootstrap_MMD_test,200,Alternative,0.184
CIT,RCIT_test,200,Alternative,0.296
CIT,PCM_test,200,Alternative,0.108
CIT,GCM_test,200,Alternative,0.142
DRT,LinearMMD_test,500,Null,0.078
DRT,CV_LinearMMD_test,500,Null,0.094
DRT,CLF_test,500,Null,0.002
DRT,CV_CLF_test,500,Null,0.012
DRT,CP_test,500,Null,0.048
DRT,debiased_test,500,Null,0.034
DRT,BlockMMD_test,500,Null,0.086
DRT,CV_BlockMMD_test,500,Null,0.07
DRT,bootstrap_MMD_test,500,Null,0.156
CIT,RCIT_test,500,Null,0.068
CIT,PCM_test,500,Null,0.056
CIT,GCM_test,500,Null,0.032
DRT,LinearMMD_test,500,Alternative,0.08
DRT,CV_LinearMMD_test,500,Alternative,0.106
DRT,CLF_test,500,Alternative,0.04
DRT,CV_CLF_test,500,Alternative,0.126
DRT,CP_test,500,Alternative,0.56
DRT,debiased_test,500,Alternative,0.444
DRT,BlockMMD_test,500,Alternative,0.088
DRT,CV_BlockMMD_test,500,Alternative,0.084
DRT,bootstrap_MMD_test,500,Alternative,0.184
CIT,RCIT_test,500,Alternative,0.32
CIT,PCM_test,500,Alternative,0.132
CIT,GCM_test,500,Alternative,0.39
DRT,LinearMMD_test,1000,Null,0.094
DRT,CV_LinearMMD_test,1000,Null,0.104
DRT,CLF_test,1000,Null,0.006
DRT,CV_CLF_test,1000,Null,0.022
DRT,CP_test,1000,Null,0.052
DRT,debiased_test,1000,Null,0.02
DRT,BlockMMD_test,1000,Null,0.08
DRT,CV_BlockMMD_test,1000,Null,0.04
DRT,bootstrap_MMD_test,1000,Null,0.232
CIT,RCIT_test,1000,Null,0.068
CIT,PCM_test,1000,Null,0.08
CIT,GCM_test,1000,Null,0.024
DRT,LinearMMD_test,1000,Alternative,0.092
DRT,CV_LinearMMD_test,1000,Alternative,0.116
DRT,CLF_test,1000,Alternative,0.094
DRT,CV_CLF_test,1000,Alternative,0.228
DRT,CP_test,1000,Alternative,0.738
DRT,debiased_test,1000,Alternative,0.6
DRT,BlockMMD_test,1000,Alternative,0.102
DRT,CV_BlockMMD_test,1000,Alternative,0.046
DRT,bootstrap_MMD_test,1000,Alternative,0.288
CIT,RCIT_test,1000,Alternative,0.512
CIT,PCM_test,1000,Alternative,0.168
CIT,GCM_test,1000,Alternative,0.728
DRT,LinearMMD_test,2000,Null,0.052
DRT,CV_LinearMMD_test,2000,Null,0.082
DRT,CLF_test,2000,Null,0.012
DRT,CV_CLF_test,2000,Null,0.014
DRT,CP_test,2000,Null,0.078
DRT,debiased_test,2000,Null,0.038
DRT,BlockMMD_test,2000,Null,0.076
DRT,CV_BlockMMD_test,2000,Null,0.062
DRT,bootstrap_MMD_test,2000,Null,0.29
CIT,RCIT_test,2000,Null,0.058
CIT,PCM_test,2000,Null,0.104
CIT,GCM_test,2000,Null,0.026
DRT,LinearMMD_test,2000,Alternative,0.062
DRT,CV_LinearMMD_test,2000,Alternative,0.09
DRT,CLF_test,2000,Alternative,0.192
DRT,CV_CLF_test,2000,Alternative,0.46
DRT,CP_test,2000,Alternative,0.91
DRT,debiased_test,2000,Alternative,0.74
DRT,BlockMMD_test,2000,Alternative,0.096
DRT,CV_BlockMMD_test,2000,Alternative,0.076
DRT,bootstrap_MMD_test,2000,Alternative,0.374
CIT,RCIT_test,2000,Alternative,0.756
CIT,PCM_test,2000,Alternative,0.25
CIT,GCM_test,2000,Alternative,0.974
