test_type,test_name,n,h_label,rejection_rate
DRT,LinearMMD_test,200,Null,0.118
DRT,CV_LinearMMD_test,200,Null,0.156
DRT,CLF_test,200,Null,0.032
DRT,CV_CLF_test,200,Null,0.03
DRT,CP_test,200,Null,0.076
DRT,debiased_test,200,Null,0.012
DRT,BlockMMD_test,200,Null,0.31
DRT,CV_BlockMMD_test,200,Null,0.476
DRT,bootstrap_MMD_test,200,Null,0.848
CIT,RCIT_test,200,Null,0.56
CIT,PCM_test,200,Null,0.148
CIT,GCM_test,200,Null,0.518
DRT,LinearMMD_test,200,Alternative,0.122
DRT,CV_LinearMMD_test,200,Alternative,0.162
DRT,CLF_test,200,Alternative,0.074
DRT,CV_CLF_test,200,Alternative,0.096
DRT,CP_test,200,Alternative,0.222
DRT,debiased_test,200,Alternative,0.096
DRT,BlockMMD_test,200,Alternative,0.326
DRT,CV_BlockMMD_test,200,Alternative,0.53
DRT,bootstrap_MMD_test,200,Alternative,0.888
CIT,RCIT_test,200,Alternative,0.894
CIT,PCM_test,200,Alternative,0.298
CIT,GCM_test,200,Alternative,0.934
DRT,LinearMMD_test,500,Null,0.148
DRT,CV_LinearMMD_test,500,Null,0.222
DRT,CLF_test,500,Null,0.016
DRT,CV_CLF_test,500,Null,0.01
DRT,CP_test,500,Null,0.08
DRT,debiased_test,500,Null,0.016
DRT,BlockMMD_test,500,Null,0.654
DRT,CV_BlockMMD_test,500,Null,0.868
DRT,bootstrap_MMD_test,500,Null,1
CIT,RCIT_test,500,Null,0.93
CIT,PCM_test,500,Null,0.216
CIT,GCM_test,500,Null,0.934
DRT,LinearMMD_test,500,Alternative,0.15
DRT,CV_LinearMMD_test,500,Alternative,0.236
DRT,CLF_test,500,Alternative,0.084
DRT,CV_CLF_test,500,Alternative,0.122
DRT,CP_test,500,Alternative,0.412
DRT,debiased_test,500,Alternative,0.188
DRT,BlockMMD_test,500,Alternative,0.676
DRT,CV_BlockMMD_test,500,Alternative,0.898
DRT,bootstrap_MMD_test,500,Alternative,1
CIT,RCIT_test,500,Alternative,0.986
CIT,PCM_test,500,Alternative,0.546
CIT,GCM_test,500,Alternative,1
DRT,LinearMMD_test,1000,Null,0.216
DRT,CV_LinearMMD_test,1000,Null,0.358
DRT,CLF_test,1000,Null,0.002
DRT,CV_CLF_test,1000,Null,0.004
DRT,CP_test,1000,Null,0.114
DRT,debiased_test,1000,Null,0.022
DRT,BlockMMD_test,1000,Null,0.968
DRT,CV_BlockMMD_test,1000,Null,0.996
DRT,bootstrap_MMD_test,1000,Null,1
CIT,RCIT_test,1000,Null,0.986
CIT,PCM_test,1000,Null,0.438
CIT,GCM_test,1000,Null,1
DRT,LinearMMD_test,1000,Alternative,0.228
DRT,CV_LinearMMD_test,1000,Alternative,0.402
DRT,CLF_test,1000,Alternative,0.114
DRT,CV_CLF_test,1000,Alternative,0.188
DRT,CP_test,1000,Alternative,0.554
DRT,debiased_test,1000,Alternative,0.27
DRT,BlockMMD_test,1000,Alternative,0.984
DRT,CV_BlockMMD_test,1000,Alternative,0.998
DRT,bootstrap_MMD_test,1000,Alternative,1
CIT,RCIT_test,1000,Alternative,0.998
CIT,PCM_test,1000,Alternative,0.866
CIT,GCM_test,1000,Alternative,1
DRT,LinearMMD_test,2000,Null,0.318
DRT,CV_LinearMMD_test,2000,Null,0.532
DRT,CLF_test,2000,Null,0.004
DRT,CV_CLF_test,2000,Null,0.002
DRT,CP_test,2000,Null,0.158
DRT,debiased_test,2000,Null,0.014
DRT,BlockMMD_test,2000,Null,0.998
DRT,CV_BlockMMD_test,2000,Null,1
DRT,bootstrap_MMD_test,2000,Null,1
CIT,RCIT_test,2000,Null,1
CIT,PCM_test,2000,Null,0.734
CIT,GCM_test,2000,Null,1
DRT,LinearMMD_test,2000,Alternative,0.36
DRT,CV_LinearMMD_test,2000,Alternative,0.58
DRT,CLF_test,2000,Alternative,0.18
DRT,CV_CLF_test,2000,Alternative,0.242
DRT,CP_test,2000,Alternative,0.688
DRT,debiased_test,2000,Alternative,0.29
DRT,BlockMMD_test,2000,Alternative,1
DRT,CV_BlockMMD_test,2000,Alternative,1
DRT,bootstrap_MMD_test,2000,Alternative,1
CIT,RCIT_test,2000,Alternative,1
CIT,PCM_test,2000,Alternative,0.988
CIT,GCM_test,2000,Alternative,1
